"TOA5","S6_bogwell","CR1000X","4724","CR1000X.Std.03.02","CPU:2021.05.04_S6BogWell.cr1x","51836","S6BW"
"TIMESTAMP","RECORD","ShelterT","WTElev","Level","WTElev_m","AdjText"
"TS","RN","Deg C","ft ASL","ft","m ASL",""
"","","Smp","Smp","Smp","Smp","Smp"
"2021-05-04 12:30:00",0,16,1386.927,0.261,422.74,"Adjusted"
"2021-05-04 13:00:00",1,15.1,1386.927,0.261,422.74,""
"2021-05-04 13:30:00",2,14.3,1386.927,0.261,422.74,""
"2021-05-04 14:00:00",3,14,1386.927,0.261,422.74,""
"2021-05-04 14:30:00",4,13.5,1386.927,0.261,422.74,""
"2021-05-04 15:00:00",5,13.2,1386.927,0.261,422.74,""
"2021-05-04 15:30:00",6,13,1386.927,0.261,422.74,""
"2021-05-04 16:00:00",7,13.2,1386.927,0.261,422.74,""
"2021-05-04 16:30:00",8,14.7,1386.924,0.258,422.73,""
"2021-05-04 17:00:00",9,13.3,1386.924,0.258,422.73,""
"2021-05-04 17:30:00",10,12.2,1386.924,0.258,422.73,""
"2021-05-04 18:00:00",11,11.3,1386.924,0.258,422.73,""
"2021-05-04 18:30:00",12,10.3,1386.924,0.258,422.73,""
"2021-05-04 19:00:00",13,9.2,1386.924,0.258,422.73,""
"2021-05-04 19:30:00",14,7.9,1386.924,0.258,422.73,""
"2021-05-04 20:00:00",15,6.9,1386.924,0.258,422.73,""
"2021-05-04 20:30:00",16,6.1,1386.924,0.258,422.73,""
"2021-05-04 21:00:00",17,4.9,1386.924,0.258,422.73,""
"2021-05-04 21:30:00",18,3.8,1386.924,0.258,422.73,""
"2021-05-04 22:00:00",19,2.9,1386.924,0.258,422.73,""
"2021-05-04 22:30:00",20,2.2,1386.924,0.258,422.73,""
"2021-05-04 23:00:00",21,1.8,1386.924,0.258,422.73,""
"2021-05-04 23:30:00",22,1.3,1386.924,0.258,422.73,""
"2021-05-05 00:00:00",23,0.8,1386.924,0.258,422.73,""
"2021-05-05 00:30:00",24,0.4,1386.924,0.258,422.73,""
"2021-05-05 01:00:00",25,0,1386.924,0.258,422.73,""
"2021-05-05 01:30:00",26,-0.3,1386.924,0.258,422.73,""
"2021-05-05 02:00:00",27,-0.7,1386.924,0.258,422.73,""
"2021-05-05 02:30:00",28,-1.1,1386.921,0.255,422.73,""
"2021-05-05 03:00:00",29,-1.3,1386.921,0.255,422.73,""
"2021-05-05 03:30:00",30,-1.6,1386.921,0.255,422.73,""
"2021-05-05 04:00:00",31,-1.7,1386.921,0.255,422.73,""
"2021-05-05 04:30:00",32,-2,1386.921,0.255,422.73,""
"2021-05-05 05:00:00",33,-2.1,1386.921,0.255,422.73,""
"2021-05-05 05:30:00",34,-2.2,1386.921,0.255,422.73,""
"2021-05-05 06:00:00",35,-2.2,1386.921,0.255,422.73,""
"2021-05-05 06:30:00",36,-1.8,1386.918,0.252,422.73,""
"2021-05-05 07:00:00",37,-0.4,1386.918,0.252,422.73,""
"2021-05-05 07:30:00",38,1.4,1386.918,0.252,422.73,""
"2021-05-05 08:00:00",39,4,1386.918,0.252,422.73,""
"2021-05-05 08:30:00",40,8.3,1386.918,0.252,422.73,""
"2021-05-05 09:00:00",41,8.9,1386.918,0.252,422.73,""
"2021-05-05 09:30:00",42,10.2,1386.918,0.252,422.73,""
"2021-05-05 10:00:00",43,13.6,1386.918,0.252,422.73,""
"2021-05-05 10:30:00",44,16.4,1386.918,0.252,422.73,""
"2021-05-05 11:00:00",45,15.5,1386.918,0.252,422.73,""
"2021-05-05 11:30:00",46,15.1,1386.918,0.252,422.73,""
"2021-05-05 12:00:00",47,16.3,1386.918,0.252,422.73,""
"2021-05-05 12:30:00",48,16.4,1386.915,0.249,422.73,""
"2021-05-05 13:00:00",49,17.6,1386.915,0.249,422.73,""
"2021-05-05 13:30:00",50,18.4,1386.915,0.249,422.73,""
"2021-05-05 14:00:00",51,16.9,1386.915,0.249,422.73,""
"2021-05-05 14:30:00",52,15.7,1386.915,0.249,422.73,""
"2021-05-05 15:00:00",53,15.2,1386.915,0.249,422.73,""
"2021-05-05 15:30:00",54,15.4,1386.915,0.249,422.73,""
"2021-05-05 16:00:00",55,15.7,1386.912,0.246,422.73,""
"2021-05-05 16:30:00",56,15.3,1386.912,0.246,422.73,""
"2021-05-05 17:00:00",57,14.3,1386.912,0.246,422.73,""
"2021-05-05 17:30:00",58,13.8,1386.912,0.246,422.73,""
"2021-05-05 18:00:00",59,12.1,1386.912,0.246,422.73,""
"2021-05-05 18:30:00",60,10.9,1386.912,0.246,422.73,""
"2021-05-05 19:00:00",61,9.6,1386.912,0.246,422.73,""
"2021-05-05 19:30:00",62,8.2,1386.912,0.246,422.73,""
"2021-05-05 20:00:00",63,6.8,1386.912,0.246,422.73,""
"2021-05-05 20:30:00",64,5.8,1386.912,0.246,422.73,""
"2021-05-05 21:00:00",65,4.9,1386.912,0.246,422.73,""
"2021-05-05 21:30:00",66,4.1,1386.912,0.246,422.73,""
"2021-05-05 22:00:00",67,3.6,1386.908,0.242,422.73,""
"2021-05-05 22:30:00",68,3.1,1386.908,0.242,422.73,""
"2021-05-05 23:00:00",69,2.9,1386.908,0.242,422.73,""
"2021-05-05 23:30:00",70,2.6,1386.908,0.242,422.73,""
"2021-05-06 00:00:00",71,1.9,1386.908,0.242,422.73,""
"2021-05-06 00:30:00",72,1.1,1386.908,0.242,422.73,""
"2021-05-06 01:00:00",73,0.4,1386.908,0.242,422.73,""
"2021-05-06 01:30:00",74,-0.2,1386.908,0.242,422.73,""
"2021-05-06 02:00:00",75,-0.6,1386.908,0.242,422.73,""
"2021-05-06 02:30:00",76,-0.9,1386.908,0.242,422.73,""
"2021-05-06 03:00:00",77,-1.2,1386.908,0.242,422.73,""
"2021-05-06 03:30:00",78,-1.4,1386.908,0.242,422.73,""
"2021-05-06 04:00:00",79,-1.6,1386.908,0.242,422.73,""
"2021-05-06 04:30:00",80,-1.9,1386.905,0.239,422.73,""
"2021-05-06 05:00:00",81,-2.2,1386.905,0.239,422.73,""
"2021-05-06 05:30:00",82,-2.4,1386.905,0.239,422.73,""
"2021-05-06 06:00:00",83,-2.4,1386.905,0.239,422.73,""
"2021-05-06 06:30:00",84,-2.1,1386.905,0.239,422.73,""
"2021-05-06 07:00:00",85,-0.5,1386.905,0.239,422.73,""
"2021-05-06 07:30:00",86,1.2,1386.905,0.239,422.73,""
"2021-05-06 08:00:00",87,3.5,1386.905,0.239,422.73,""
"2021-05-06 08:30:00",88,10.2,1386.905,0.239,422.73,""
"2021-05-06 09:00:00",89,11.4,1386.905,0.239,422.73,""
"2021-05-06 09:30:00",90,12,1386.905,0.239,422.73,""
"2021-05-06 10:00:00",91,16.7,1386.905,0.239,422.73,""
"2021-05-06 10:30:00",92,18.7,1386.905,0.239,422.73,""
"2021-05-06 11:00:00",93,16.6,1386.905,0.239,422.73,""
"2021-05-06 11:30:00",94,18.4,1386.905,0.239,422.73,""
"2021-05-06 12:00:00",95,22,1386.905,0.239,422.73,""
"2021-05-06 12:30:00",96,21.3,1386.902,0.236,422.73,""
"2021-05-06 13:00:00",97,18.1,1386.902,0.236,422.73,""
"2021-05-06 13:30:00",98,16.5,1386.902,0.236,422.73,""
"2021-05-06 14:00:00",99,16.7,1386.902,0.236,422.73,""
"2021-05-06 14:30:00",100,15.9,1386.902,0.236,422.73,""
"2021-05-06 15:00:00",101,15.2,1386.902,0.236,422.73,""
"2021-05-06 15:30:00",102,14.3,1386.902,0.236,422.73,""
"2021-05-06 16:00:00",103,14.1,1386.902,0.236,422.73,""
"2021-05-06 16:30:00",104,13.1,1386.899,0.233,422.73,""
"2021-05-06 17:00:00",105,12,1386.899,0.233,422.73,""
"2021-05-06 17:30:00",106,10.9,1386.899,0.233,422.73,""
"2021-05-06 18:00:00",107,9.9,1386.899,0.233,422.73,""
"2021-05-06 18:30:00",108,8.9,1386.899,0.233,422.73,""
"2021-05-06 19:00:00",109,7.9,1386.899,0.233,422.73,""
"2021-05-06 19:30:00",110,6.8,1386.899,0.233,422.73,""
"2021-05-06 20:00:00",111,6,1386.899,0.233,422.73,""
"2021-05-06 20:30:00",112,5.5,1386.899,0.233,422.73,""
"2021-05-06 21:00:00",113,5,1386.899,0.233,422.73,""
"2021-05-06 21:30:00",114,4.4,1386.899,0.233,422.73,""
"2021-05-06 22:00:00",115,3.9,1386.899,0.233,422.73,""
"2021-05-06 22:30:00",116,3,1386.899,0.233,422.73,""
"2021-05-06 23:00:00",117,2,1386.899,0.233,422.73,""
"2021-05-06 23:30:00",118,1.3,1386.899,0.233,422.73,""
"2021-05-07 00:00:00",119,0.8,1386.899,0.233,422.73,""
"2021-05-07 00:30:00",120,0.6,1386.899,0.233,422.73,""
"2021-05-07 01:00:00",121,0.1,1386.896,0.23,422.73,""
"2021-05-07 01:30:00",122,-0.1,1386.896,0.23,422.73,""
"2021-05-07 02:00:00",123,0.2,1386.896,0.23,422.73,""
"2021-05-07 02:30:00",124,0.7,1386.896,0.23,422.73,""
"2021-05-07 03:00:00",125,0.6,1386.896,0.23,422.73,""
"2021-05-07 03:30:00",126,0.1,1386.896,0.23,422.73,""
"2021-05-07 04:00:00",127,-0.3,1386.896,0.23,422.73,""
"2021-05-07 04:30:00",128,-0.6,1386.896,0.23,422.73,""
"2021-05-07 05:00:00",129,-0.8,1386.896,0.23,422.73,""
"2021-05-07 05:30:00",130,-0.9,1386.896,0.23,422.73,""
"2021-05-07 06:00:00",131,-0.9,1386.896,0.23,422.73,""
"2021-05-07 06:30:00",132,-0.6,1386.896,0.23,422.73,""
"2021-05-07 07:00:00",133,0.7,1386.893,0.227,422.73,""
"2021-05-07 07:30:00",134,1.8,1386.893,0.227,422.73,""
"2021-05-07 08:00:00",135,4.4,1386.893,0.227,422.73,""
"2021-05-07 08:30:00",136,8,1386.893,0.227,422.73,""
"2021-05-07 09:00:00",137,8.2,1386.893,0.227,422.73,""
"2021-05-07 09:30:00",138,8.8,1386.893,0.227,422.73,""
"2021-05-07 10:00:00",139,12.7,1386.893,0.227,422.73,""
"2021-05-07 10:30:00",140,14.6,1386.893,0.227,422.73,""
"2021-05-07 11:00:00",141,12.5,1386.893,0.227,422.73,""
"2021-05-07 11:30:00",142,14.1,1386.893,0.227,422.73,""
"2021-05-07 12:00:00",143,13.9,1386.893,0.227,422.73,""
"2021-05-07 12:30:00",144,16.7,1386.893,0.227,422.73,""
"2021-05-07 13:00:00",145,17.6,1386.89,0.224,422.72,""
"2021-05-07 13:30:00",146,17.8,1386.89,0.224,422.72,""
"2021-05-07 14:00:00",147,16.1,1386.89,0.224,422.72,""
"2021-05-07 14:30:00",148,15.1,1386.89,0.224,422.72,""
"2021-05-07 15:00:00",149,16,1386.89,0.224,422.72,""
"2021-05-07 15:30:00",150,15.2,1386.89,0.224,422.72,""
"2021-05-07 16:00:00",151,17.4,1386.89,0.224,422.72,""
"2021-05-07 16:30:00",152,15.3,1386.887,0.221,422.72,""
"2021-05-07 17:00:00",153,13.7,1386.887,0.221,422.72,""
"2021-05-07 17:30:00",154,13.1,1386.887,0.221,422.72,""
"2021-05-07 18:00:00",155,11.8,1386.887,0.221,422.72,""
"2021-05-07 18:30:00",156,11.1,1386.887,0.221,422.72,""
"2021-05-07 19:00:00",157,10,1386.887,0.221,422.72,""
"2021-05-07 19:30:00",158,8.5,1386.887,0.221,422.72,""
"2021-05-07 20:00:00",159,7.3,1386.887,0.221,422.72,""
"2021-05-07 20:30:00",160,6,1386.887,0.221,422.72,""
"2021-05-07 21:00:00",161,4.8,1386.887,0.221,422.72,""
"2021-05-07 21:30:00",162,3.6,1386.887,0.221,422.72,""
"2021-05-07 22:00:00",163,2.6,1386.884,0.218,422.72,""
"2021-05-07 22:30:00",164,1.8,1386.884,0.218,422.72,""
"2021-05-07 23:00:00",165,1.2,1386.884,0.218,422.72,""
"2021-05-07 23:30:00",166,0.6,1386.884,0.218,422.72,""
"2021-05-08 00:00:00",167,0.1,1386.884,0.218,422.72,""
"2021-05-08 00:30:00",168,-0.2,1386.884,0.218,422.72,""
"2021-05-08 01:00:00",169,-0.6,1386.881,0.215,422.72,""
"2021-05-08 01:30:00",170,-0.8,1386.881,0.215,422.72,""
"2021-05-08 02:00:00",171,-1.1,1386.881,0.215,422.72,""
"2021-05-08 02:30:00",172,-1.3,1386.881,0.215,422.72,""
"2021-05-08 03:00:00",173,-1.4,1386.881,0.215,422.72,""
"2021-05-08 03:30:00",174,-1.6,1386.881,0.215,422.72,""
"2021-05-08 04:00:00",175,-1.8,1386.881,0.215,422.72,""
"2021-05-08 04:30:00",176,-1.9,1386.881,0.215,422.72,""
"2021-05-08 05:00:00",177,-2,1386.881,0.215,422.72,""
"2021-05-08 05:30:00",178,-2.1,1386.881,0.215,422.72,""
"2021-05-08 06:00:00",179,-2,1386.881,0.215,422.72,""
"2021-05-08 06:30:00",180,-1.5,1386.881,0.215,422.72,""
"2021-05-08 07:00:00",181,0.1,1386.881,0.215,422.72,""
"2021-05-08 07:30:00",182,2.1,1386.881,0.215,422.72,""
"2021-05-08 08:00:00",183,5.8,1386.881,0.215,422.72,""
"2021-05-08 08:30:00",184,12,1386.881,0.215,422.72,""
"2021-05-08 09:00:00",185,12.8,1386.881,0.215,422.72,""
"2021-05-08 09:30:00",186,13.3,1386.881,0.215,422.72,""
"2021-05-08 10:00:00",187,17.8,1386.881,0.215,422.72,""
"2021-05-08 10:30:00",188,20.7,1386.881,0.215,422.72,""
"2021-05-08 11:00:00",189,18.3,1386.881,0.215,422.72,""
"2021-05-08 11:30:00",190,19.9,1386.881,0.215,422.72,""
"2021-05-08 12:00:00",191,23.7,1386.881,0.215,422.72,""
"2021-05-08 12:30:00",192,25,1386.881,0.215,422.72,""
"2021-05-08 13:00:00",193,24.5,1386.878,0.212,422.72,""
"2021-05-08 13:30:00",194,23.5,1386.878,0.212,422.72,""
"2021-05-08 14:00:00",195,22.2,1386.878,0.212,422.72,""
"2021-05-08 14:30:00",196,20.3,1386.878,0.212,422.72,""
"2021-05-08 15:00:00",197,19.5,1386.875,0.209,422.72,""
"2021-05-08 15:30:00",198,20,1386.875,0.209,422.72,""
"2021-05-08 16:00:00",199,20.1,1386.875,0.209,422.72,""
"2021-05-08 16:30:00",200,19.1,1386.875,0.209,422.72,""
"2021-05-08 17:00:00",201,17.8,1386.875,0.209,422.72,""
"2021-05-08 17:30:00",202,17,1386.875,0.209,422.72,""
"2021-05-08 18:00:00",203,15.8,1386.875,0.209,422.72,""
"2021-05-08 18:30:00",204,14.7,1386.875,0.209,422.72,""
"2021-05-08 19:00:00",205,13.4,1386.875,0.209,422.72,""
"2021-05-08 19:30:00",206,12.1,1386.872,0.206,422.72,""
"2021-05-08 20:00:00",207,10.7,1386.872,0.206,422.72,""
"2021-05-08 20:30:00",208,9.4,1386.872,0.206,422.72,""
"2021-05-08 21:00:00",209,8.2,1386.872,0.206,422.72,""
"2021-05-08 21:30:00",210,6.9,1386.872,0.206,422.72,""
"2021-05-08 22:00:00",211,5.9,1386.872,0.206,422.72,""
"2021-05-08 22:30:00",212,4.9,1386.872,0.206,422.72,""
"2021-05-08 23:00:00",213,3.9,1386.872,0.206,422.72,""
"2021-05-08 23:30:00",214,3.2,1386.872,0.206,422.72,""
"2021-05-09 00:00:00",215,2.7,1386.872,0.206,422.72,""
"2021-05-09 00:30:00",216,2.2,1386.872,0.206,422.72,""
"2021-05-09 01:00:00",217,1.6,1386.872,0.206,422.72,""
"2021-05-09 01:30:00",218,1.1,1386.872,0.206,422.72,""
"2021-05-09 02:00:00",219,0.5,1386.872,0.206,422.72,""
"2021-05-09 02:30:00",220,0,1386.872,0.206,422.72,""
"2021-05-09 03:00:00",221,-0.5,1386.872,0.206,422.72,""
"2021-05-09 03:30:00",222,-0.9,1386.872,0.206,422.72,""
"2021-05-09 04:00:00",223,-1.2,1386.872,0.206,422.72,""
"2021-05-09 04:30:00",224,-1.5,1386.872,0.206,422.72,""
"2021-05-09 05:00:00",225,-1.7,1386.872,0.206,422.72,""
"2021-05-09 05:30:00",226,-1.9,1386.872,0.206,422.72,""
"2021-05-09 06:00:00",227,-1.9,1386.872,0.206,422.72,""
"2021-05-09 06:30:00",228,-1.6,1386.868,0.202,422.72,""
"2021-05-09 07:00:00",229,0,1386.868,0.202,422.72,""
"2021-05-09 07:30:00",230,1.8,1386.868,0.202,422.72,""
"2021-05-09 08:00:00",231,5.4,1386.868,0.202,422.72,""
"2021-05-09 08:30:00",232,11,1386.868,0.202,422.72,""
"2021-05-09 09:00:00",233,11.9,1386.868,0.202,422.72,""
"2021-05-09 09:30:00",234,11.8,1386.868,0.202,422.72,""
"2021-05-09 10:00:00",235,16,1386.868,0.202,422.72,""
"2021-05-09 10:30:00",236,17.7,1386.868,0.202,422.72,""
"2021-05-09 11:00:00",237,15.9,1386.868,0.202,422.72,""
"2021-05-09 11:30:00",238,15.9,1386.868,0.202,422.72,""
"2021-05-09 12:00:00",239,16.6,1386.865,0.199,422.72,""
"2021-05-09 12:30:00",240,16,1386.865,0.199,422.72,""
"2021-05-09 13:00:00",241,15.2,1386.865,0.199,422.72,""
"2021-05-09 13:30:00",242,14.8,1386.865,0.199,422.72,""
"2021-05-09 14:00:00",243,14,1386.865,0.199,422.72,""
"2021-05-09 14:30:00",244,13.7,1386.865,0.199,422.72,""
"2021-05-09 15:00:00",245,13.3,1386.865,0.199,422.72,""
"2021-05-09 15:30:00",246,12.9,1386.862,0.196,422.72,""
"2021-05-09 16:00:00",247,12,1386.862,0.196,422.72,""
"2021-05-09 16:30:00",248,11.8,1386.862,0.196,422.72,""
"2021-05-09 17:00:00",249,11.3,1386.862,0.196,422.72,""
"2021-05-09 17:30:00",250,10.7,1386.862,0.196,422.72,""
"2021-05-09 18:00:00",251,9.9,1386.862,0.196,422.72,""
"2021-05-09 18:30:00",252,9.1,1386.862,0.196,422.72,""
"2021-05-09 19:00:00",253,8.3,1386.862,0.196,422.72,""
"2021-05-09 19:30:00",254,7.4,1386.862,0.196,422.72,""
"2021-05-09 20:00:00",255,6.5,1386.862,0.196,422.72,""
"2021-05-09 20:30:00",256,5.7,1386.859,0.193,422.71,""
"2021-05-09 21:00:00",257,5.3,1386.859,0.193,422.71,""
"2021-05-09 21:30:00",258,4.9,1386.859,0.193,422.71,""
"2021-05-09 22:00:00",259,4.6,1386.859,0.193,422.71,""
"2021-05-09 22:30:00",260,4.2,1386.859,0.193,422.71,""
"2021-05-09 23:00:00",261,4,1386.859,0.193,422.71,""
"2021-05-09 23:30:00",262,3.7,1386.859,0.193,422.71,""
"2021-05-10 00:00:00",263,3.3,1386.859,0.193,422.71,""
"2021-05-10 00:30:00",264,2.6,1386.859,0.193,422.71,""
"2021-05-10 01:00:00",265,2,1386.859,0.193,422.71,""
"2021-05-10 01:30:00",266,1.6,1386.859,0.193,422.71,""
"2021-05-10 02:00:00",267,1.4,1386.859,0.193,422.71,""
"2021-05-10 02:30:00",268,0.7,1386.859,0.193,422.71,""
"2021-05-10 03:00:00",269,0,1386.859,0.193,422.71,""
"2021-05-10 03:30:00",270,-0.7,1386.859,0.193,422.71,""
"2021-05-10 04:00:00",271,-1.2,1386.859,0.193,422.71,""
"2021-05-10 04:30:00",272,-1.6,1386.859,0.193,422.71,""
"2021-05-10 05:00:00",273,-1.9,1386.859,0.193,422.71,""
"2021-05-10 05:30:00",274,-1.9,1386.856,0.19,422.71,""
"2021-05-10 06:00:00",275,-1.4,1386.856,0.19,422.71,""
"2021-05-10 06:30:00",276,-0.2,1386.856,0.19,422.71,""
"2021-05-10 07:00:00",277,1.4,1386.856,0.19,422.71,""
"2021-05-10 07:30:00",278,3.4,1386.856,0.19,422.71,""
"2021-05-10 08:00:00",279,5.7,1386.856,0.19,422.71,""
"2021-05-10 08:30:00",280,11,1386.856,0.19,422.71,""
"2021-05-10 09:00:00",281,10.8,1386.856,0.19,422.71,""
"2021-05-10 09:30:00",282,10.2,1386.856,0.19,422.71,""
"2021-05-10 10:00:00",283,10.6,1386.856,0.19,422.71,""
"2021-05-10 10:30:00",284,11.2,1386.856,0.19,422.71,""
"2021-05-10 11:00:00",285,11.9,1386.856,0.19,422.71,""
"2021-05-10 11:30:00",286,12.4,1386.856,0.19,422.71,""
"2021-05-10 12:00:00",287,15.8,1386.853,0.187,422.71,""
"2021-05-10 12:30:00",288,15.7,1386.853,0.187,422.71,""
"2021-05-10 13:00:00",289,16.3,1386.853,0.187,422.71,""
"2021-05-10 13:30:00",290,15.3,1386.853,0.187,422.71,""
"2021-05-10 14:00:00",291,15.6,1386.853,0.187,422.71,""
"2021-05-10 14:30:00",292,14.7,1386.85,0.184,422.71,""
"2021-05-10 15:00:00",293,13.7,1386.85,0.184,422.71,""
"2021-05-10 15:30:00",294,13.8,1386.85,0.184,422.71,""
"2021-05-10 16:00:00",295,13.9,1386.85,0.184,422.71,""
"2021-05-10 16:30:00",296,13.6,1386.85,0.184,422.71,""
"2021-05-10 17:00:00",297,14,1386.85,0.184,422.71,""
"2021-05-10 17:30:00",298,13,1386.85,0.184,422.71,""
"2021-05-10 18:00:00",299,11.3,1386.847,0.181,422.71,""
"2021-05-10 18:30:00",300,10.1,1386.847,0.181,422.71,""
"2021-05-10 19:00:00",301,8.9,1386.847,0.181,422.71,""
"2021-05-10 19:30:00",302,7.9,1386.847,0.181,422.71,""
"2021-05-10 20:00:00",303,6.5,1386.847,0.181,422.71,""
"2021-05-10 20:30:00",304,5.2,1386.847,0.181,422.71,""
"2021-05-10 21:00:00",305,4,1386.847,0.181,422.71,""
"2021-05-10 21:30:00",306,3.2,1386.847,0.181,422.71,""
"2021-05-10 22:00:00",307,2.3,1386.847,0.181,422.71,""
"2021-05-10 22:30:00",308,1.5,1386.847,0.181,422.71,""
"2021-05-10 23:00:00",309,0.9,1386.847,0.181,422.71,""
"2021-05-10 23:30:00",310,0.3,1386.847,0.181,422.71,""
"2021-05-11 00:00:00",311,-0.2,1386.847,0.181,422.71,""
"2021-05-11 00:30:00",312,-0.8,1386.847,0.181,422.71,""
"2021-05-11 01:00:00",313,-1.2,1386.847,0.181,422.71,""
"2021-05-11 01:30:00",314,-1.6,1386.847,0.181,422.71,""
"2021-05-11 02:00:00",315,-1.9,1386.844,0.178,422.71,""
"2021-05-11 02:30:00",316,-2.2,1386.844,0.178,422.71,""
"2021-05-11 03:00:00",317,-2.4,1386.844,0.178,422.71,""
"2021-05-11 03:30:00",318,-2.7,1386.844,0.178,422.71,""
"2021-05-11 04:00:00",319,-2.9,1386.844,0.178,422.71,""
"2021-05-11 04:30:00",320,-3,1386.844,0.178,422.71,""
"2021-05-11 05:00:00",321,-3.2,1386.844,0.178,422.71,""
"2021-05-11 05:30:00",322,-3.2,1386.844,0.178,422.71,""
"2021-05-11 06:00:00",323,-3.1,1386.844,0.178,422.71,""
"2021-05-11 06:30:00",324,-2.8,1386.844,0.178,422.71,""
"2021-05-11 07:00:00",325,-1.4,1386.844,0.178,422.71,""
"2021-05-11 07:30:00",326,0.8,1386.844,0.178,422.71,""
"2021-05-11 08:00:00",327,4.8,1386.844,0.178,422.71,""
"2021-05-11 08:30:00",328,10.5,1386.844,0.178,422.71,""
"2021-05-11 09:00:00",329,12.4,1386.844,0.178,422.71,""
"2021-05-11 09:30:00",330,12.3,1386.844,0.178,422.71,""
"2021-05-11 10:00:00",331,15.7,1386.844,0.178,422.71,""
"2021-05-11 10:30:00",332,19.5,1386.844,0.178,422.71,""
"2021-05-11 11:00:00",333,17.1,1386.844,0.178,422.71,""
"2021-05-11 11:30:00",334,18,1386.844,0.178,422.71,""
"2021-05-11 12:00:00",335,21.7,1386.841,0.175,422.71,""
"2021-05-11 12:30:00",336,23.7,1386.841,0.175,422.71,""
"2021-05-11 13:00:00",337,24.2,1386.841,0.175,422.71,""
"2021-05-11 13:30:00",338,23,1386.841,0.175,422.71,""
"2021-05-11 14:00:00",339,21.1,1386.838,0.172,422.71,""
"2021-05-11 14:30:00",340,19.5,1386.838,0.172,422.71,""
"2021-05-11 15:00:00",341,19.6,1386.835,0.169,422.71,""
"2021-05-11 15:30:00",342,20.7,1386.835,0.169,422.71,""
"2021-05-11 16:00:00",343,22.1,1386.835,0.169,422.71,""
"2021-05-11 16:30:00",344,20.6,1386.835,0.169,422.71,""
"2021-05-11 17:00:00",345,19.6,1386.835,0.169,422.71,""
"2021-05-11 17:30:00",346,19.3,1386.835,0.169,422.71,""
"2021-05-11 18:00:00",347,17.2,1386.835,0.169,422.71,""
"2021-05-11 18:30:00",348,15.3,1386.835,0.169,422.71,""
"2021-05-11 19:00:00",349,13.7,1386.835,0.169,422.71,""
"2021-05-11 19:30:00",350,12.1,1386.835,0.169,422.71,""
"2021-05-11 20:00:00",351,10.5,1386.835,0.169,422.71,""
"2021-05-11 20:30:00",352,9,1386.835,0.169,422.71,""
"2021-05-11 21:00:00",353,7.7,1386.835,0.169,422.71,""
"2021-05-11 21:30:00",354,6.5,1386.835,0.169,422.71,""
"2021-05-11 22:00:00",355,5.4,1386.835,0.169,422.71,""
"2021-05-11 22:30:00",356,4.5,1386.835,0.169,422.71,""
"2021-05-11 23:00:00",357,3.7,1386.835,0.169,422.71,""
"2021-05-11 23:30:00",358,2.9,1386.835,0.169,422.71,""
"2021-05-12 00:00:00",359,2.3,1386.835,0.169,422.71,""
"2021-05-12 00:30:00",360,1.8,1386.835,0.169,422.71,""
"2021-05-12 01:00:00",361,1.3,1386.835,0.169,422.71,""
"2021-05-12 01:30:00",362,0.9,1386.835,0.169,422.71,""
"2021-05-12 02:00:00",363,0.5,1386.832,0.166,422.71,""
"2021-05-12 02:30:00",364,0.1,1386.832,0.166,422.71,""
"2021-05-12 03:00:00",365,-0.1,1386.832,0.166,422.71,""
"2021-05-12 03:30:00",366,-0.4,1386.832,0.166,422.71,""
"2021-05-12 04:00:00",367,-0.6,1386.832,0.166,422.71,""
"2021-05-12 04:30:00",368,-0.7,1386.832,0.166,422.71,""
"2021-05-12 05:00:00",369,-0.9,1386.832,0.166,422.71,""
"2021-05-12 05:30:00",370,-0.9,1386.832,0.166,422.71,""
"2021-05-12 06:00:00",371,-0.8,1386.832,0.166,422.71,""
"2021-05-12 06:30:00",372,-0.3,1386.832,0.166,422.71,""
"2021-05-12 07:00:00",373,1.2,1386.832,0.166,422.71,""
"2021-05-12 07:30:00",374,3.5,1386.832,0.166,422.71,""
"2021-05-12 08:00:00",375,8,1386.832,0.166,422.71,""
"2021-05-12 08:30:00",376,14,1386.832,0.166,422.71,""
"2021-05-12 09:00:00",377,16.6,1386.832,0.166,422.71,""
"2021-05-12 09:30:00",378,17.2,1386.832,0.166,422.71,""
"2021-05-12 10:00:00",379,20.6,1386.832,0.166,422.71,""
"2021-05-12 10:30:00",380,24.2,1386.832,0.166,422.71,""
"2021-05-12 11:00:00",381,21.9,1386.832,0.166,422.71,""
"2021-05-12 11:30:00",382,23,1386.828,0.162,422.71,""
"2021-05-12 12:00:00",383,26.8,1386.828,0.162,422.71,""
"2021-05-12 12:30:00",384,28.5,1386.828,0.162,422.71,""
"2021-05-12 13:00:00",385,28.5,1386.828,0.162,422.71,""
"2021-05-12 13:30:00",386,27,1386.825,0.159,422.7,""
"2021-05-12 14:00:00",387,25.8,1386.825,0.159,422.7,""
"2021-05-12 14:30:00",388,24.4,1386.825,0.159,422.7,""
"2021-05-12 15:00:00",389,24.2,1386.825,0.159,422.7,""
"2021-05-12 15:30:00",390,25.1,1386.822,0.156,422.7,""
"2021-05-12 16:00:00",391,25.4,1386.822,0.156,422.7,""
"2021-05-12 16:30:00",392,23.8,1386.822,0.156,422.7,""
"2021-05-12 17:00:00",393,23.4,1386.822,0.156,422.7,""
"2021-05-12 17:30:00",394,22.8,1386.822,0.156,422.7,""
